Дата;Заголовок;Просмотры;Ссылка
25.05.2020 / 16:35;Поліцейські перекрили канал постачання наркотиків до м. Новомосковська;37;//mvs.gov.ua/ua/news/31031_Policeyski_perekrili_kanal_postachannya_narkotikiv_do_m_Novomoskovska.htm
25.05.2020 / 15:55;1 червня всі КПВВ на лінії розмежування переходять на літній графік роботи;108;//mvs.gov.ua/ua/news/31028_1_chervnya_vsi_KPVV_na_linii_rozmezhuvannya_perehodyat_na_litniy_grafik_roboti.htm
25.05.2020 / 15:14;Керівництво Кагарлицьким відділенням поліції доручено працівникам обласного главку;219;//mvs.gov.ua/ua/news/31025_Kerivnictvo_Kagarlickim_viddilennyam_policii_dorucheno_pracivnikam_oblasnogo_glavku.htm
25.05.2020 / 14:47;Слідчі повідомили мешканцю Самбора про підозру в перешкоджанні журналістській діяльності;81;//mvs.gov.ua/ua/news/31022_Slidchi_povidomili_meshkancyu_Sambora_pro_pidozru_v_pereshkodzhanni_zhurnalistskiy_diyalnosti.htm
25.05.2020 / 14:11;Слідчі Нацполіції оголосили у розшук за розтрату чужого майна забудовника – організатора злочинної групи ;117;//mvs.gov.ua/ua/news/31019_Slidchi_Nacpolicii_ogolosili_u_rozshuk_za_roztratu_chuzhogo_mayna_zabudovnika__organizatora_zlochinnoi_grupi_.htm
25.05.2020 / 12:38;На Чернігівщині поліцейські затримали підозрювану у неправдивому повідомленні про замінування;87;//mvs.gov.ua/ua/news/31016_Na_CHernigivshchini_policeyski_zatrimali_pidozryuvanu_u_nepravdivomu_povidomlenni_pro_zaminuvannya.htm
25.05.2020 / 11:25;На Луганщині прикордонники виявили порушника з недійсними документами України та Росії;172;//mvs.gov.ua/ua/news/31013_Na_Luganshchini_prikordonniki_viyavili_porushnika_z_nediysnimi_dokumentami_Ukraini_ta_Rosii.htm
25.05.2020 / 17:03;За минулий тиждень гвардійці провели низку затримань у Маріуполі;41;//mvs.gov.ua/ua/news/31034_Za_minuliy_tizhden_gvardiyci_proveli_nizku_zatriman_u_Mariupoli.htm
25.05.2020 / 16:35;Поліцейські перекрили канал постачання наркотиків до м. Новомосковська;37;//mvs.gov.ua/ua/news/31031_Policeyski_perekrili_kanal_postachannya_narkotikiv_do_m_Novomoskovska.htm
25.05.2020 / 15:55;1 червня всі КПВВ на лінії розмежування переходять на літній графік роботи;108;//mvs.gov.ua/ua/news/31028_1_chervnya_vsi_KPVV_na_linii_rozmezhuvannya_perehodyat_na_litniy_grafik_roboti.htm
25.05.2020 / 15:14;Керівництво Кагарлицьким відділенням поліції доручено працівникам обласного главку;219;//mvs.gov.ua/ua/news/31025_Kerivnictvo_Kagarlickim_viddilennyam_policii_dorucheno_pracivnikam_oblasnogo_glavku.htm
25.05.2020 / 14:47;Слідчі повідомили мешканцю Самбора про підозру в перешкоджанні журналістській діяльності;81;//mvs.gov.ua/ua/news/31022_Slidchi_povidomili_meshkancyu_Sambora_pro_pidozru_v_pereshkodzhanni_zhurnalistskiy_diyalnosti.htm
25.05.2020 / 14:11;Слідчі Нацполіції оголосили у розшук за розтрату чужого майна забудовника – організатора злочинної групи ;117;//mvs.gov.ua/ua/news/31019_Slidchi_Nacpolicii_ogolosili_u_rozshuk_za_roztratu_chuzhogo_mayna_zabudovnika__organizatora_zlochinnoi_grupi_.htm
25.05.2020 / 12:38;На Чернігівщині поліцейські затримали підозрювану у неправдивому повідомленні про замінування;87;//mvs.gov.ua/ua/news/31016_Na_CHernigivshchini_policeyski_zatrimali_pidozryuvanu_u_nepravdivomu_povidomlenni_pro_zaminuvannya.htm
25.05.2020 / 11:25;На Луганщині прикордонники виявили порушника з недійсними документами України та Росії;172;//mvs.gov.ua/ua/news/31013_Na_Luganshchini_prikordonniki_viyavili_porushnika_z_nediysnimi_dokumentami_Ukraini_ta_Rosii.htm
25.05.2020 / 17:03;За минулий тиждень гвардійці провели низку затримань у Маріуполі;41;//mvs.gov.ua/ua/news/31034_Za_minuliy_tizhden_gvardiyci_proveli_nizku_zatriman_u_Mariupoli.htm
25.05.2020 / 16:35;Поліцейські перекрили канал постачання наркотиків до м. Новомосковська;37;//mvs.gov.ua/ua/news/31031_Policeyski_perekrili_kanal_postachannya_narkotikiv_do_m_Novomoskovska.htm
25.05.2020 / 15:55;1 червня всі КПВВ на лінії розмежування переходять на літній графік роботи;108;//mvs.gov.ua/ua/news/31028_1_chervnya_vsi_KPVV_na_linii_rozmezhuvannya_perehodyat_na_litniy_grafik_roboti.htm
25.05.2020 / 15:14;Керівництво Кагарлицьким відділенням поліції доручено працівникам обласного главку;219;//mvs.gov.ua/ua/news/31025_Kerivnictvo_Kagarlickim_viddilennyam_policii_dorucheno_pracivnikam_oblasnogo_glavku.htm
25.05.2020 / 14:47;Слідчі повідомили мешканцю Самбора про підозру в перешкоджанні журналістській діяльності;81;//mvs.gov.ua/ua/news/31022_Slidchi_povidomili_meshkancyu_Sambora_pro_pidozru_v_pereshkodzhanni_zhurnalistskiy_diyalnosti.htm
25.05.2020 / 14:11;Слідчі Нацполіції оголосили у розшук за розтрату чужого майна забудовника – організатора злочинної групи ;117;//mvs.gov.ua/ua/news/31019_Slidchi_Nacpolicii_ogolosili_u_rozshuk_za_roztratu_chuzhogo_mayna_zabudovnika__organizatora_zlochinnoi_grupi_.htm
25.05.2020 / 12:38;На Чернігівщині поліцейські затримали підозрювану у неправдивому повідомленні про замінування;87;//mvs.gov.ua/ua/news/31016_Na_CHernigivshchini_policeyski_zatrimali_pidozryuvanu_u_nepravdivomu_povidomlenni_pro_zaminuvannya.htm
25.05.2020 / 11:25;На Луганщині прикордонники виявили порушника з недійсними документами України та Росії;172;//mvs.gov.ua/ua/news/31013_Na_Luganshchini_prikordonniki_viyavili_porushnika_z_nediysnimi_dokumentami_Ukraini_ta_Rosii.htm
25.05.2020 / 17:03;За минулий тиждень гвардійці провели низку затримань у Маріуполі;41;//mvs.gov.ua/ua/news/31034_Za_minuliy_tizhden_gvardiyci_proveli_nizku_zatriman_u_Mariupoli.htm
25.05.2020 / 16:35;Поліцейські перекрили канал постачання наркотиків до м. Новомосковська;37;//mvs.gov.ua/ua/news/31031_Policeyski_perekrili_kanal_postachannya_narkotikiv_do_m_Novomoskovska.htm
25.05.2020 / 15:55;1 червня всі КПВВ на лінії розмежування переходять на літній графік роботи;108;//mvs.gov.ua/ua/news/31028_1_chervnya_vsi_KPVV_na_linii_rozmezhuvannya_perehodyat_na_litniy_grafik_roboti.htm
25.05.2020 / 15:14;Керівництво Кагарлицьким відділенням поліції доручено працівникам обласного главку;219;//mvs.gov.ua/ua/news/31025_Kerivnictvo_Kagarlickim_viddilennyam_policii_dorucheno_pracivnikam_oblasnogo_glavku.htm
25.05.2020 / 14:47;Слідчі повідомили мешканцю Самбора про підозру в перешкоджанні журналістській діяльності;81;//mvs.gov.ua/ua/news/31022_Slidchi_povidomili_meshkancyu_Sambora_pro_pidozru_v_pereshkodzhanni_zhurnalistskiy_diyalnosti.htm
25.05.2020 / 14:11;Слідчі Нацполіції оголосили у розшук за розтрату чужого майна забудовника – організатора злочинної групи ;117;//mvs.gov.ua/ua/news/31019_Slidchi_Nacpolicii_ogolosili_u_rozshuk_za_roztratu_chuzhogo_mayna_zabudovnika__organizatora_zlochinnoi_grupi_.htm
25.05.2020 / 12:38;На Чернігівщині поліцейські затримали підозрювану у неправдивому повідомленні про замінування;87;//mvs.gov.ua/ua/news/31016_Na_CHernigivshchini_policeyski_zatrimali_pidozryuvanu_u_nepravdivomu_povidomlenni_pro_zaminuvannya.htm
25.05.2020 / 11:25;На Луганщині прикордонники виявили порушника з недійсними документами України та Росії;172;//mvs.gov.ua/ua/news/31013_Na_Luganshchini_prikordonniki_viyavili_porushnika_z_nediysnimi_dokumentami_Ukraini_ta_Rosii.htm
25.05.2020 / 17:03;За минулий тиждень гвардійці провели низку затримань у Маріуполі;41;//mvs.gov.ua/ua/news/31034_Za_minuliy_tizhden_gvardiyci_proveli_nizku_zatriman_u_Mariupoli.htm
25.05.2020 / 16:35;Поліцейські перекрили канал постачання наркотиків до м. Новомосковська;37;//mvs.gov.ua/ua/news/31031_Policeyski_perekrili_kanal_postachannya_narkotikiv_do_m_Novomoskovska.htm
25.05.2020 / 15:55;1 червня всі КПВВ на лінії розмежування переходять на літній графік роботи;108;//mvs.gov.ua/ua/news/31028_1_chervnya_vsi_KPVV_na_linii_rozmezhuvannya_perehodyat_na_litniy_grafik_roboti.htm
25.05.2020 / 15:14;Керівництво Кагарлицьким відділенням поліції доручено працівникам обласного главку;219;//mvs.gov.ua/ua/news/31025_Kerivnictvo_Kagarlickim_viddilennyam_policii_dorucheno_pracivnikam_oblasnogo_glavku.htm
25.05.2020 / 14:47;Слідчі повідомили мешканцю Самбора про підозру в перешкоджанні журналістській діяльності;81;//mvs.gov.ua/ua/news/31022_Slidchi_povidomili_meshkancyu_Sambora_pro_pidozru_v_pereshkodzhanni_zhurnalistskiy_diyalnosti.htm
25.05.2020 / 14:11;Слідчі Нацполіції оголосили у розшук за розтрату чужого майна забудовника – організатора злочинної групи ;117;//mvs.gov.ua/ua/news/31019_Slidchi_Nacpolicii_ogolosili_u_rozshuk_za_roztratu_chuzhogo_mayna_zabudovnika__organizatora_zlochinnoi_grupi_.htm
25.05.2020 / 12:38;На Чернігівщині поліцейські затримали підозрювану у неправдивому повідомленні про замінування;87;//mvs.gov.ua/ua/news/31016_Na_CHernigivshchini_policeyski_zatrimali_pidozryuvanu_u_nepravdivomu_povidomlenni_pro_zaminuvannya.htm
25.05.2020 / 11:25;На Луганщині прикордонники виявили порушника з недійсними документами України та Росії;172;//mvs.gov.ua/ua/news/31013_Na_Luganshchini_prikordonniki_viyavili_porushnika_z_nediysnimi_dokumentami_Ukraini_ta_Rosii.htm
25.05.2020 / 17:03;За минулий тиждень гвардійці провели низку затримань у Маріуполі;41;//mvs.gov.ua/ua/news/31034_Za_minuliy_tizhden_gvardiyci_proveli_nizku_zatriman_u_Mariupoli.htm
25.05.2020 / 16:35;Поліцейські перекрили канал постачання наркотиків до м. Новомосковська;37;//mvs.gov.ua/ua/news/31031_Policeyski_perekrili_kanal_postachannya_narkotikiv_do_m_Novomoskovska.htm
25.05.2020 / 15:55;1 червня всі КПВВ на лінії розмежування переходять на літній графік роботи;108;//mvs.gov.ua/ua/news/31028_1_chervnya_vsi_KPVV_na_linii_rozmezhuvannya_perehodyat_na_litniy_grafik_roboti.htm
25.05.2020 / 15:14;Керівництво Кагарлицьким відділенням поліції доручено працівникам обласного главку;219;//mvs.gov.ua/ua/news/31025_Kerivnictvo_Kagarlickim_viddilennyam_policii_dorucheno_pracivnikam_oblasnogo_glavku.htm
25.05.2020 / 14:47;Слідчі повідомили мешканцю Самбора про підозру в перешкоджанні журналістській діяльності;81;//mvs.gov.ua/ua/news/31022_Slidchi_povidomili_meshkancyu_Sambora_pro_pidozru_v_pereshkodzhanni_zhurnalistskiy_diyalnosti.htm
25.05.2020 / 14:11;Слідчі Нацполіції оголосили у розшук за розтрату чужого майна забудовника – організатора злочинної групи ;117;//mvs.gov.ua/ua/news/31019_Slidchi_Nacpolicii_ogolosili_u_rozshuk_za_roztratu_chuzhogo_mayna_zabudovnika__organizatora_zlochinnoi_grupi_.htm
25.05.2020 / 12:38;На Чернігівщині поліцейські затримали підозрювану у неправдивому повідомленні про замінування;87;//mvs.gov.ua/ua/news/31016_Na_CHernigivshchini_policeyski_zatrimali_pidozryuvanu_u_nepravdivomu_povidomlenni_pro_zaminuvannya.htm
25.05.2020 / 11:25;На Луганщині прикордонники виявили порушника з недійсними документами України та Росії;172;//mvs.gov.ua/ua/news/31013_Na_Luganshchini_prikordonniki_viyavili_porushnika_z_nediysnimi_dokumentami_Ukraini_ta_Rosii.htm
25.05.2020 / 17:03;За минулий тиждень гвардійці провели низку затримань у Маріуполі;41;//mvs.gov.ua/ua/news/31034_Za_minuliy_tizhden_gvardiyci_proveli_nizku_zatriman_u_Mariupoli.htm
25.05.2020 / 16:35;Поліцейські перекрили канал постачання наркотиків до м. Новомосковська;37;//mvs.gov.ua/ua/news/31031_Policeyski_perekrili_kanal_postachannya_narkotikiv_do_m_Novomoskovska.htm
25.05.2020 / 15:55;1 червня всі КПВВ на лінії розмежування переходять на літній графік роботи;108;//mvs.gov.ua/ua/news/31028_1_chervnya_vsi_KPVV_na_linii_rozmezhuvannya_perehodyat_na_litniy_grafik_roboti.htm
25.05.2020 / 15:14;Керівництво Кагарлицьким відділенням поліції доручено працівникам обласного главку;219;//mvs.gov.ua/ua/news/31025_Kerivnictvo_Kagarlickim_viddilennyam_policii_dorucheno_pracivnikam_oblasnogo_glavku.htm
25.05.2020 / 14:47;Слідчі повідомили мешканцю Самбора про підозру в перешкоджанні журналістській діяльності;81;//mvs.gov.ua/ua/news/31022_Slidchi_povidomili_meshkancyu_Sambora_pro_pidozru_v_pereshkodzhanni_zhurnalistskiy_diyalnosti.htm
25.05.2020 / 14:11;Слідчі Нацполіції оголосили у розшук за розтрату чужого майна забудовника – організатора злочинної групи ;117;//mvs.gov.ua/ua/news/31019_Slidchi_Nacpolicii_ogolosili_u_rozshuk_za_roztratu_chuzhogo_mayna_zabudovnika__organizatora_zlochinnoi_grupi_.htm
25.05.2020 / 12:38;На Чернігівщині поліцейські затримали підозрювану у неправдивому повідомленні про замінування;87;//mvs.gov.ua/ua/news/31016_Na_CHernigivshchini_policeyski_zatrimali_pidozryuvanu_u_nepravdivomu_povidomlenni_pro_zaminuvannya.htm
25.05.2020 / 11:25;На Луганщині прикордонники виявили порушника з недійсними документами України та Росії;172;//mvs.gov.ua/ua/news/31013_Na_Luganshchini_prikordonniki_viyavili_porushnika_z_nediysnimi_dokumentami_Ukraini_ta_Rosii.htm
25.05.2020 / 17:03;За минулий тиждень гвардійці провели низку затримань у Маріуполі;41;//mvs.gov.ua/ua/news/31034_Za_minuliy_tizhden_gvardiyci_proveli_nizku_zatriman_u_Mariupoli.htm
25.05.2020 / 16:35;Поліцейські перекрили канал постачання наркотиків до м. Новомосковська;37;//mvs.gov.ua/ua/news/31031_Policeyski_perekrili_kanal_postachannya_narkotikiv_do_m_Novomoskovska.htm
25.05.2020 / 15:55;1 червня всі КПВВ на лінії розмежування переходять на літній графік роботи;108;//mvs.gov.ua/ua/news/31028_1_chervnya_vsi_KPVV_na_linii_rozmezhuvannya_perehodyat_na_litniy_grafik_roboti.htm
25.05.2020 / 15:14;Керівництво Кагарлицьким відділенням поліції доручено працівникам обласного главку;219;//mvs.gov.ua/ua/news/31025_Kerivnictvo_Kagarlickim_viddilennyam_policii_dorucheno_pracivnikam_oblasnogo_glavku.htm
25.05.2020 / 14:47;Слідчі повідомили мешканцю Самбора про підозру в перешкоджанні журналістській діяльності;81;//mvs.gov.ua/ua/news/31022_Slidchi_povidomili_meshkancyu_Sambora_pro_pidozru_v_pereshkodzhanni_zhurnalistskiy_diyalnosti.htm
25.05.2020 / 14:11;Слідчі Нацполіції оголосили у розшук за розтрату чужого майна забудовника – організатора злочинної групи ;117;//mvs.gov.ua/ua/news/31019_Slidchi_Nacpolicii_ogolosili_u_rozshuk_za_roztratu_chuzhogo_mayna_zabudovnika__organizatora_zlochinnoi_grupi_.htm
25.05.2020 / 12:38;На Чернігівщині поліцейські затримали підозрювану у неправдивому повідомленні про замінування;87;//mvs.gov.ua/ua/news/31016_Na_CHernigivshchini_policeyski_zatrimali_pidozryuvanu_u_nepravdivomu_povidomlenni_pro_zaminuvannya.htm
25.05.2020 / 11:25;На Луганщині прикордонники виявили порушника з недійсними документами України та Росії;172;//mvs.gov.ua/ua/news/31013_Na_Luganshchini_prikordonniki_viyavili_porushnika_z_nediysnimi_dokumentami_Ukraini_ta_Rosii.htm
25.05.2020 / 17:03;За минулий тиждень гвардійці провели низку затримань у Маріуполі;41;//mvs.gov.ua/ua/news/31034_Za_minuliy_tizhden_gvardiyci_proveli_nizku_zatriman_u_Mariupoli.htm
25.05.2020 / 16:35;Поліцейські перекрили канал постачання наркотиків до м. Новомосковська;37;//mvs.gov.ua/ua/news/31031_Policeyski_perekrili_kanal_postachannya_narkotikiv_do_m_Novomoskovska.htm
25.05.2020 / 15:55;1 червня всі КПВВ на лінії розмежування переходять на літній графік роботи;108;//mvs.gov.ua/ua/news/31028_1_chervnya_vsi_KPVV_na_linii_rozmezhuvannya_perehodyat_na_litniy_grafik_roboti.htm
25.05.2020 / 15:14;Керівництво Кагарлицьким відділенням поліції доручено працівникам обласного главку;219;//mvs.gov.ua/ua/news/31025_Kerivnictvo_Kagarlickim_viddilennyam_policii_dorucheno_pracivnikam_oblasnogo_glavku.htm
25.05.2020 / 14:47;Слідчі повідомили мешканцю Самбора про підозру в перешкоджанні журналістській діяльності;81;//mvs.gov.ua/ua/news/31022_Slidchi_povidomili_meshkancyu_Sambora_pro_pidozru_v_pereshkodzhanni_zhurnalistskiy_diyalnosti.htm
25.05.2020 / 14:11;Слідчі Нацполіції оголосили у розшук за розтрату чужого майна забудовника – організатора злочинної групи ;117;//mvs.gov.ua/ua/news/31019_Slidchi_Nacpolicii_ogolosili_u_rozshuk_za_roztratu_chuzhogo_mayna_zabudovnika__organizatora_zlochinnoi_grupi_.htm
25.05.2020 / 12:38;На Чернігівщині поліцейські затримали підозрювану у неправдивому повідомленні про замінування;87;//mvs.gov.ua/ua/news/31016_Na_CHernigivshchini_policeyski_zatrimali_pidozryuvanu_u_nepravdivomu_povidomlenni_pro_zaminuvannya.htm
25.05.2020 / 11:25;На Луганщині прикордонники виявили порушника з недійсними документами України та Росії;172;//mvs.gov.ua/ua/news/31013_Na_Luganshchini_prikordonniki_viyavili_porushnika_z_nediysnimi_dokumentami_Ukraini_ta_Rosii.htm
25.05.2020 / 17:03;За минулий тиждень гвардійці провели низку затримань у Маріуполі;41;//mvs.gov.ua/ua/news/31034_Za_minuliy_tizhden_gvardiyci_proveli_nizku_zatriman_u_Mariupoli.htm
25.05.2020 / 16:35;Поліцейські перекрили канал постачання наркотиків до м. Новомосковська;37;//mvs.gov.ua/ua/news/31031_Policeyski_perekrili_kanal_postachannya_narkotikiv_do_m_Novomoskovska.htm
25.05.2020 / 15:55;1 червня всі КПВВ на лінії розмежування переходять на літній графік роботи;108;//mvs.gov.ua/ua/news/31028_1_chervnya_vsi_KPVV_na_linii_rozmezhuvannya_perehodyat_na_litniy_grafik_roboti.htm
25.05.2020 / 15:14;Керівництво Кагарлицьким відділенням поліції доручено працівникам обласного главку;219;//mvs.gov.ua/ua/news/31025_Kerivnictvo_Kagarlickim_viddilennyam_policii_dorucheno_pracivnikam_oblasnogo_glavku.htm
25.05.2020 / 14:47;Слідчі повідомили мешканцю Самбора про підозру в перешкоджанні журналістській діяльності;81;//mvs.gov.ua/ua/news/31022_Slidchi_povidomili_meshkancyu_Sambora_pro_pidozru_v_pereshkodzhanni_zhurnalistskiy_diyalnosti.htm
25.05.2020 / 14:11;Слідчі Нацполіції оголосили у розшук за розтрату чужого майна забудовника – організатора злочинної групи ;117;//mvs.gov.ua/ua/news/31019_Slidchi_Nacpolicii_ogolosili_u_rozshuk_za_roztratu_chuzhogo_mayna_zabudovnika__organizatora_zlochinnoi_grupi_.htm
25.05.2020 / 12:38;На Чернігівщині поліцейські затримали підозрювану у неправдивому повідомленні про замінування;87;//mvs.gov.ua/ua/news/31016_Na_CHernigivshchini_policeyski_zatrimali_pidozryuvanu_u_nepravdivomu_povidomlenni_pro_zaminuvannya.htm
25.05.2020 / 11:25;На Луганщині прикордонники виявили порушника з недійсними документами України та Росії;172;//mvs.gov.ua/ua/news/31013_Na_Luganshchini_prikordonniki_viyavili_porushnika_z_nediysnimi_dokumentami_Ukraini_ta_Rosii.htm
25.05.2020 / 17:03;За минулий тиждень гвардійці провели низку затримань у Маріуполі;41;//mvs.gov.ua/ua/news/31034_Za_minuliy_tizhden_gvardiyci_proveli_nizku_zatriman_u_Mariupoli.htm
25.05.2020 / 16:35;Поліцейські перекрили канал постачання наркотиків до м. Новомосковська;37;//mvs.gov.ua/ua/news/31031_Policeyski_perekrili_kanal_postachannya_narkotikiv_do_m_Novomoskovska.htm
25.05.2020 / 15:55;1 червня всі КПВВ на лінії розмежування переходять на літній графік роботи;108;//mvs.gov.ua/ua/news/31028_1_chervnya_vsi_KPVV_na_linii_rozmezhuvannya_perehodyat_na_litniy_grafik_roboti.htm
25.05.2020 / 15:14;Керівництво Кагарлицьким відділенням поліції доручено працівникам обласного главку;219;//mvs.gov.ua/ua/news/31025_Kerivnictvo_Kagarlickim_viddilennyam_policii_dorucheno_pracivnikam_oblasnogo_glavku.htm
25.05.2020 / 14:47;Слідчі повідомили мешканцю Самбора про підозру в перешкоджанні журналістській діяльності;81;//mvs.gov.ua/ua/news/31022_Slidchi_povidomili_meshkancyu_Sambora_pro_pidozru_v_pereshkodzhanni_zhurnalistskiy_diyalnosti.htm
25.05.2020 / 14:11;Слідчі Нацполіції оголосили у розшук за розтрату чужого майна забудовника – організатора злочинної групи ;117;//mvs.gov.ua/ua/news/31019_Slidchi_Nacpolicii_ogolosili_u_rozshuk_za_roztratu_chuzhogo_mayna_zabudovnika__organizatora_zlochinnoi_grupi_.htm
25.05.2020 / 12:38;На Чернігівщині поліцейські затримали підозрювану у неправдивому повідомленні про замінування;87;//mvs.gov.ua/ua/news/31016_Na_CHernigivshchini_policeyski_zatrimali_pidozryuvanu_u_nepravdivomu_povidomlenni_pro_zaminuvannya.htm
